Tranche or routes to stations,Region,Train operaing company or local authority,Scheme name,Station name,Scheme description, Total scheme cost ,DfT Funding,Cycle spaces - additional or routes to stations,Financial year
Routes to stations,South East,Buckinghamshire Council,Aylesbury Vale Parkway route to station,Aylesbury Vale Parkway,Berryfields to Buckingham Park Greenway.,"£329,000","£72,159",Routes to stations,2021/22
Routes to stations,Yorks and Humber,East Riding of Yorkshire Borough Council,Brough route to station,Brough,Route along Skillings Lane,"£30,000","£25,000",Routes to stations,2021/22
Routes to stations,West Midlands,Coventry City Council,Coventry route to station,Coventry,"Improvements of links to NCN52  North, South and West through Spencer Park","£609,000","£429,000",Routes to stations,2021/22
Routes to stations,East ,Hertfordshire County Council,Harpenden route to station,Harpenden,Opening up the southern access to Harpenden Station via Aysgarth Close,"£87,000","£37,000",Routes to stations,2021/22
Routes to stations,West Midlands,Warwickshire County Council,Warwick route to station,Warwick,New cycle route on the A429 Coventry Rd between the Spinney Hill roundabout (where it connects to NCN52 to Kenilworth) and the St Johns junction on the outskirts of Warwick town centre. A connection into the large residential area to the west of the corridor will also be included. In addition the scheme will include an upgrade to an existing cycle track through St Nicholas Park.,"£902,500","£204,500",Routes to stations,2021/22
7,South East,Southeastern,Folkestone Central cycle parking,Folkestone Central,"Convert a disused room into a secure cycle hub. Cycle parking will be a mix of 2 tier cycle parking and a minimum of 20 Sheffield stands. CCTV cameras, lighting, secure door with swipe card entry system, repair stands and bike maintenance tools, locking rings, e-bike charging points.","£65,000","£58,500",59,2021/22
7,Yorks & Humber,Transpennine Express,Scunthorpe cycle parking,Scunthorpe,"Shelter,  2-tier racking, repair stand.","£23,579","£21,221",18,2021/22
7,South West,Great Western,Truro cycle parking,Truro,Sheffield stands and CCTV to cover additional spaces.,"£20,000","£18,000",16,2021/22
7,South East,Southeastern,Margate cycle parking,Margate,"Secure cycle hub with 30 x 2 tier cycle spaces and 5 hoops, creating 40 new cycle spaces. Signage, CCTV, lighting and secure swipe card entry system.  Bike maintenance tools, new cycle pump, repair stands and locking ring (anchor point for locking larger cycle).","£65,000","£58,500",40,2021/22
7,East,Greater Anglia,Bury St Edmunds cycle parking,Bury St Edmunds,"A glass hub covered parking facilities with two tier cycle racks, a mix of open and access controlled parking. Additional CCTV and lighting.","£153,065","£133,065",64,2021/22
7,East,GTR,Biggleswade cycle parking,Biggleswade,"Sheffield stands and double tier cycle facilities, repairing station, 2 e-scooters charging points, CCTV, lighting and access via a secure control system.","£100,000","£90,000",58,2021/22
7,North West,Avanti WC,Carlisle cycle parking,Carlisle,"Cycle hub within station arch. Including benches, lockers and cycle maintenance tools.","£359,000","£305,150",140,2021/22
7,South East,Southeastern,Birchington-on-Sea cycle parking,Birchington-on-Sea,"Secure cycle hub signage, CCTV, lighting and secure entry system. Maintenance tools,  a new cycle pump, repair stand, locking ring. E-bike charging points.","£65,000","£58,500",30,2021/22
7,South West,GWR,Avonmouth cycle parking,Avonmouth,"Sheffield stands, shelter and basic bike maintenance facilities including tools and a tyre pump.","£70,000","£55,000",32,2021/22
7,South East,GTR,Epsom cycle parking,Epsom,Access control system via either smartcard or app to the current cycling facilities.,"£60,000","£54,000",20,2021/22
